AKST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2014-10-29,50,46,42,,38,,92,72,66,,29.65,,,,,,12,26,0.02,,,130
2014-10-30,49,44,38,,39,,100,94,80,,29.48,,,,,,8,35,0.40,,,190
2014-10-31,43,41,38,,38,,96,88,69,,29.49,,,,,,13,28,1.44,,,110
2014-11-1,47,44,40,,41,,93,90,85,,29.42,,,,,,14,37,1.21,,,100
2014-11-2,46,43,39,,40,,100,91,74,,29.67,,,,,,10,35,0.41,,,260
2014-11-3,48,42,36,,36,,100,77,50,,29.44,,,,,,8,34,0.37,,,90
2014-11-4,45,41,36,,39,,97,89,74,,29.72,,,,,,13,36,0.99,,,220
2014-11-5,45,40,35,,36,,100,82,58,,29.48,,,,,,9,26,0.41,,,340
2014-11-6,46,41,35,,37,,100,87,68,,29.73,,,,,,10,29,0.16,,,120
2014-11-7,50,47,44,,37,,97,68,63,,29.88,,,,,,14,35,0.22,,,120
2014-11-8,49,43,36,,40,,100,91,71,,30.00,,,,,,10,25,0.65,,,330
2014-11-9,45,40,35,,39,,100,94,83,,30.23,,,,,,2,9,0.00,,,90
2014-11-10,44,39,34,,39,,100,96,89,,30.32,,,,,,3,11,0.01,,,90
2014-11-11,45,38,31,,35,,100,93,73,,30.30,,,,,,2,9,0.00,,,310
2014-11-12,43,36,29,,30,,100,87,65,,30.24,,,,,,3,9,0.00,,,360
2014-11-13,45,37,28,,29,,96,83,60,,30.14,,,,,,2,7,0.00,,,100
2014-11-14,45,37,28,,29,,96,83,56,,30.24,,,,,,2,7,0.00,,,90
2014-11-15,44,36,28,,28,,92,79,65,,30.35,,,,,,2,11,0.00,,,330
2014-11-16,43,39,34,,34,,96,79,58,,30.34,,,,,,5,15,0.05,,,340
2014-11-17,45,42,38,,41,,100,97,73,,30.18,,,,,,6,14,0.09,,,340
2014-11-18,53,47,41,,40,,100,71,41,,29.81,,,,,,17,37,0.60,,,100
2014-11-19,48,44,40,,44,,100,97,86,,29.80,,,,,,5,19,0.29,,,330
2014-11-20,46,40,34,,39,,100,95,89,,29.48,,,,,,3,12,0.01,,,150
2014-11-21,48,44,39,,38,,100,80,56,,29.16,,,,,,12,31,0.40,,,110
2014-11-22,43,41,38,,38,,97,90,73,,29.37,,,,,,9,20,0.88,,,110
2014-11-23,43,41,38,,38,,100,92,82,,29.68,,,,,,8,22,0.51,,,120
2014-11-24,44,41,38,,38,,100,92,82,,29.80,,,,,,7,22,0.30,,,250
2014-11-25,40,36,31,,37,,100,99,82,,30.12,,,,,,4,17,0.20,,,120
2014-11-26,39,34,28,,31,,100,94,73,,30.05,,,,,,3,10,0.00,,,40
2014-11-27,36,31,25,,10,,100,37,31,,29.95,,,,,,11,40,0.00,,,10
2014-11-28,32,28,24,,7,,66,42,23,,30.15,,,,,,4,17,0.00,,,30
2014-11-29,36,32,28,,29,,100,87,30,,30.09,,,,,,4,12,0.15,,,90
2014-11-30,37,35,32,,34,,100,98,58,,29.91,,,,,,7,19,1.05,,,110
2014-12-1,36,33,30,,32,,100,96,85,,29.96,,,,,,4,14,0.10,,,80
2014-12-2,45,40,35,,40,,100,96,89,,29.96,,,,,,10,25,1.14,,,230
2014-12-3,40,34,28,,34,,100,99,93,,29.96,,,,,,4,19,0.05,,,340
2014-12-4,38,32,26,,30,,100,87,70,,29.87,,,,,,5,17,0.00,,,340
2014-12-5,40,35,30,,30,,100,76,70,,29.71,,,,,,6,14,0.00,,,330
2014-12-6,46,41,36,,38,,100,97,74,,29.67,,,,,,4,23,0.33,,,110
2014-12-7,51,48,45,,37,,79,64,59,,29.54,,,,,,20,41,0.03,,,110
2014-12-8,53,49,44,,38,,86,65,57,,29.07,,,,,,19,40,0.26,,,130
2014-12-9,45,43,40,,41,,100,96,61,,28.87,,,,,,5,25,0.75,,,110
2014-12-10,46,41,36,,38,,100,90,71,,28.90,,,,,,4,25,0.00,,,110
2014-12-11,47,43,39,,39,,100,86,68,,29.05,,,,,,4,19,0.04,,,110
2014-12-12,42,40,38,,39,,100,97,83,,29.55,,,,,,6,17,0.63,,,110
2014-12-13,47,43,38,,36,,100,77,66,,29.87,,,,,,13,30,0.06,,,110
2014-12-14,49,48,46,,35,,96,62,56,,29.69,,,,,,23,46,0.07,,,100
2014-12-15,50,47,43,,33,,82,60,41,,29.47,,,,,,20,42,0.06,,,100
2014-12-16,45,41,36,,36,,93,85,68,,29.56,,,,,,9,24,0.39,,,160
2014-12-17,43,38,33,,32,,96,75,58,,29.67,,,,,,9,30,0.00,,,110
2014-12-18,46,44,41,,31,,89,61,56,,29.31,,,,,,15,34,0.00,,,120
2014-12-19,46,44,41,,32,,74,65,55,,29.17,,,,,,16,34,0.01,,,120
2014-12-20,48,44,40,,35,,93,69,59,,28.94,,,,,,14,30,0.07,,,120
2014-12-21,42,40,37,,38,,100,94,61,,29.43,,,,,,5,13,0.12,,,320
2014-12-22,45,41,37,,37,,96,84,68,,29.94,,,,,,10,26,0.15,,,290
2014-12-23,44,40,35,,30,,97,63,51,,29.44,,,,,,7,32,0.00,,,100
2014-12-24,40,36,31,,34,,100,93,58,,29.84,,,,,,6,15,0.32,,,110
2014-12-25,41,40,38,,38,,100,96,82,,29.99,,,,,,7,18,0.60,,,110
2014-12-26,41,38,35,,36,,100,97,83,,30.05,,,,,,4,20,0.24,,,200
2014-12-27,40,34,27,,31,,96,83,65,,30.29,,,,,,5,20,0.01,,,350
2014-12-28,37,31,25,,17,,97,56,37,,30.63,,,,,,6,24,0.00,,,90
2014-12-29,37,33,28,,18,,89,54,39,,30.72,,,,,,7,33,0.00,,,110
2014-12-30,45,38,31,,31,,96,69,50,,30.71,,,,,,7,23,0.11,,,110
2014-12-31,44,43,41,,41,,100,99,67,,30.42,,,,,,3,16,0.83,,,120
